FRAME   ID  X   Y
200 0 159 109
200 1 143 113
201 0 160 108
201 1 144 113
202 0 160 106
202 1 144 113
203 0 161 105
203 1 145 113
204 0 162 105
204 1 146 113
205 0 162 104
205 1 146 114
206 0 162 103
206 1 147 114
207 0 162 103
207 1 149 113
208 0 162 103
208 1 151 114
209 0 162 103
209 1 152 114
210 0 162 103
210 1 151 114
211 0 163 103
211 1 153 114
212 0 164 102
212 1 153 114
213 0 164 100
213 1 154 113
214 0 165 99
214 1 154 114
215 0 167 99
215 1 155 112
216 0 167 99
216 1 156 112
217 0 168 97
217 1 156 111
218 0 168 95
218 1 156 111
219 0 168 95
219 1 157 110
220 0 168 95
220 1 159 107
221 0 168 94
221 1 159 107
222 0 168 93
222 1 159 107
223 0 168 93
223 1 159 107
224 0 169 92
224 1 159 107
225 0 170 90
225 1 160 106
226 0 170 88
226 1 160 104
227 0 171 87
227 1 160 104
228 0 172 86
228 1 161 103
229 0 171 85
229 1 162 103
230 0 172 85
230 1 162 103
231 0 171 84
231 1 163 102
232 0 172 83
232 1 165 100
233 0 171 84
233 1 166 100
234 0 172 83
234 1 166 100
235 0 171 83
235 1 166 100
236 0 172 83
236 1 168 98
237 0 172 83
237 1 169 97
238 0 172 83
238 1 170 98
239 0 172 83
239 1 170 97
240 0 172 83
240 1 171 97
241 0 172 83
241 1 172 97
242 0 173 83
242 1 172 96
243 0 174 82
243 1 172 95
244 0 174 81
244 1 172 95
245 0 175 80
245 1 172 95
246 0 177 78
246 1 172 95
247 0 177 78
247 1 172 95
248 0 178 77
248 1 172 94
249 0 179 76
249 1 172 93
250 0 181 74
250 1 172 93
251 0 182 73
251 1 173 92
252 0 182 74
252 1 174 90
253 0 182 73
253 1 173 90
254 0 183 73
254 1 174 88
255 0 184 73
255 1 174 87
256 0 183 73
256 1 174 86
257 0 184 72
257 1 175 84
258 0 183 71
258 1 176 83
259 0 184 71
259 1 175 84
260 0 183 71
260 1 176 83
261 0 184 70
261 1 176 83
262 0 183 69
262 1 176 83
263 0 184 69
263 1 176 83
264 0 184 68
264 1 177 82
265 0 184 67
265 1 178 81
266 0 184 67
266 1 178 82
267 0 184 66
267 1 179 81
268 0 184 64
268 1 180 81
269 0 183 63
269 1 180 81
270 0 184 63
270 1 181 80
271 0 184 63
271 1 182 79
272 0 183 62
272 1 183 79
273 0 184 60
273 1 184 79
274 0 183 60
274 1 184 78
275 0 183 60
275 1 184 77
276 0 183 60
276 1 184 77
277 0 183 60
277 1 184 77
278 0 183 60
278 1 184 77
279 0 182 58
279 1 185 75
280 0 181 58
280 1 185 75
281 0 181 58
281 1 185 75
282 0 180 57
282 1 186 74
283 0 179 57
283 1 185 73
284 0 179 57
284 1 185 73
285 0 178 56
285 1 185 73
286 0 176 54
286 1 185 73
287 0 175 54
287 1 185 72
288 0 174 54
288 1 184 70
289 0 174 54
289 1 183 69
290 0 173 53
290 1 184 69
291 0 173 53
291 1 183 68
292 0 172 52
292 1 184 66
293 0 170 51
293 1 183 65
294 0 169 51
294 1 183 65
295 0 170 51
295 1 183 65
296 0 169 51
296 1 183 65
297 0 170 51
297 1 183 65
298 0 169 51
298 1 183 65
299 0 170 50
299 1 183 64
300 0 170 50
300 1 183 64
301 0 170 50
301 1 183 64
302 0 170 50
302 1 183 64
303 0 170 50
303 1 183 64
304 0 170 49
304 1 183 63
305 0 170 49
305 1 184 64
306 0 170 49
306 1 183 63
307 0 170 49
307 1 184 64
308 0 170 49
308 1 184 63
309 0 170 48
309 1 184 63
310 0 170 47
310 1 184 63
311 0 170 48
311 1 184 64
312 0 170 48
312 1 183 63
313 0 170 48
313 1 184 64
314 0 170 48
314 1 183 64
315 0 170 48
315 1 184 64
316 0 170 48
316 1 184 63
317 0 170 48
317 1 184 64
318 0 170 48
