FRAME   ID  X   Y
355 0 174 54
355 1 191 55
356 0 174 53
356 1 192 55
357 0 174 53
357 1 191 55
358 0 175 54
358 1 192 55
359 0 176 54
359 1 192 54
360 0 176 54
360 1 192 54
361 0 176 54
361 1 192 54
362 0 176 54
362 1 192 54
363 0 177 53
363 1 192 54
364 0 178 54
364 1 192 54
365 0 177 53
365 1 192 53
366 0 178 54
366 1 192 54
367 0 178 53
367 1 192 53
368 0 178 54
368 1 192 54
369 0 179 53
369 1 193 53
370 0 180 54
370 1 194 53
371 0 180 53
371 1 194 53
372 0 180 54
372 1 194 53
373 0 180 53
373 1 194 53
374 0 180 53
374 1 194 53
375 0 180 53
375 1 194 53
376 0 180 53
376 1 194 53
377 0 180 53
377 1 194 53
378 0 181 53
378 1 194 53
379 0 182 53
379 1 194 53
380 0 181 52
380 1 194 53
381 0 182 51
381 1 194 53
382 0 181 52
382 1 194 53
383 0 182 51
383 1 194 53
384 0 181 51
384 1 194 53
385 0 182 51
385 1 194 53
386 0 181 51
386 1 194 54
387 0 182 51
387 1 194 53
388 0 181 51
388 1 194 54
389 0 181 51
389 1 194 53
390 0 181 51
390 1 194 54
391 0 181 51
391 1 194 53
392 0 181 51
392 1 194 54
393 0 181 51
393 1 194 53
394 0 180 50
394 1 194 54
395 0 179 49
395 1 194 53
396 0 179 50
396 1 194 54
397 0 179 49
397 1 194 53
398 0 178 49
398 1 194 54
399 0 177 49
399 1 194 53
400 0 177 49
400 1 194 54
401 0 177 49
401 1 194 53
402 0 177 49
402 1 194 54
403 0 177 49
403 1 194 53
404 0 177 49
404 1 194 54
405 0 177 48
405 1 194 53
406 0 176 47
406 1 194 54
407 0 175 47
407 1 194 53
408 0 176 47
408 1 194 54
409 0 175 47
409 1 194 53
410 0 176 47
410 1 194 54
411 0 176 47
411 1 194 53
412 0 176 46
412 1 194 54
413 0 176 45
413 1 194 53
414 0 177 46
414 1 194 54
415 0 177 45
415 1 194 53
416 0 178 46
416 1 194 54
417 0 178 46
417 1 194 54
418 0 178 46
418 1 194 54
419 0 178 46
419 1 194 54
420 0 178 46
420 1 194 54
421 0 178 46
421 1 194 54
422 0 178 46
422 1 194 54
423 0 178 46
423 1 194 54
424 0 179 47
424 1 194 54
425 0 180 49
425 1 194 54
426 0 180 50
426 1 194 54
427 0 180 49
427 1 193 54
428 0 180 50
428 1 194 54
429 0 181 50
429 1 194 55
430 0 182 50
430 1 194 56
431 0 182 51
431 1 194 55
432 0 182 52
432 1 193 56
433 0 182 51
433 1 194 55
434 0 182 52
434 1 193 56
435 0 183 51
435 1 194 55
436 0 184 52
436 1 193 55
437 0 184 52
437 1 194 55
438 0 184 52
438 1 193 55
439 0 185 52
439 1 194 55
440 0 186 52
440 1 194 56
441 0 185 52
441 1 195 57
442 0 186 52
442 1 196 59
443 0 186 53
443 1 196 61
444 0 187 55
444 1 197 63
445 0 188 55
445 1 198 64
446 0 188 56
446 1 198 64
447 0 189 56
447 1 199 65
448 0 190 56
448 1 200 67
449 0 190 57
449 1 200 68
450 0 191 59
450 1 201 68
451 0 192 60
451 1 202 68
452 0 192 60
452 1 201 68
453 0 192 60
453 1 202 69
454 0 192 61
454 1 202 70
455 0 192 63
455 1 202 69
456 0 192 64
456 1 202 70
457 0 192 64
457 1 202 70
458 0 192 64
458 1 202 70
459 0 192 66
459 1 202 70
460 0 192 67
460 1 202 70
461 0 192 69
461 1 202 70
462 0 192 70
462 1 202 70
463 0 192 70
463 1 202 70
464 0 192 70
464 1 202 70
465 0 192 70
465 1 202 70
466 0 192 70
466 1 202 70
467 0 192 71
467 1 202 70
468 0 192 72
468 1 202 70
469 0 192 72
469 1 203 70
470 0 192 72
470 1 203 70
471 0 192 72
471 1 204 71
472 0 192 73
472 1 204 72
473 0 192 73
473 1 205 72
474 0 192 73
474 1 208 73
475 0 191 73
475 1 208 74
476 0 192 73
476 1 208 74
477 0 191 73
477 1 210 74
478 0 192 73
478 1 210 74
479 0 192 74
479 1 211 74
480 0 192 73
480 1 212 75
481 0 192 74
481 1 211 76
482 0 191 74
482 1 212 75
483 0 191 74
483 1 211 76
484 0 191 74
484 1 212 75
485 0 191 74
485 1 211 76
486 0 191 74
486 1 212 75
487 0 191 74
487 1 211 76
488 0 191 74
488 1 212 75
489 0 191 74
489 1 211 76
490 0 191 74
490 1 212 75
491 0 191 73
491 1 211 76
492 0 191 74
492 1 212 75
493 0 191 73
493 1 211 76
494 0 191 74
494 1 212 75
495 0 191 73
495 1 211 76
496 0 191 73
496 1 212 75
497 0 191 73
497 1 211 76
498 0 191 73
498 1 211 76
499 0 191 73
499 1 211 76
500 0 191 73
500 1 211 76
501 0 191 73
501 1 211 76
502 0 190 73
502 1 211 76
503 0 189 74
503 1 211 76
504 0 189 73
